plantMASST	NCBI_Genome	Transcriptome
Banara tomentosa		
Bambusa vulgaris		
Ballota nigra		
Baliospermum solanifolium		
Baliospermum montanum		
Bagassa guianensis		
Bactris gasipaes		
Baccaurea ramiflora		
Azadirachta indica		
Avicennia officinalis		
Averrhoa carambola		
Avenula pubescens		
Avena sativa		
Avena nuda		
Avena barbata		
Autranella congolensis		
Aurinia saxatilis		
Aucuba japonica		
Aucuba himalaica		
Aubrevillea kerstingii		
Atropa belladonna		
Atriplex hortensis		
Atriplex canescens		
Atractylodes macrocephala		
Atractylodes lancea		
Atractylodes japonica		
Atalantia citroides		
Astragalus sinicus		
Astragalus propinquus		
Astragalus membranaceus		
Astragalus glycyphyllos		
Astragalus canadensis		
Aster yomena		
Aster tataricus		
Aster incisus		
Aster hispidus		
Aster glehnii		
Aster altaicus		
Aster alpinus		
Aster ageratoides		
Astelia banksii		
Asplenium trichomanes		
Asplenium scolopendrium		
Asplenium ruta-muraria		
Asplenium platyneuron		
Asplenium onopteris		
Asplenium musifolium		
Asplenium ceterach		
Aspidosperma spruceanum		
Aspidosperma cylindrocarpon		
Aspicarpa harleyi		
Asparagus officinalis		
Asparagus cochinchinensis		
Asimina triloba		
Asclepias incarnata		
Asclepias curassavica		
Asarum heterotropoides		
Aruncus dioicus		
Artocarpus nitidus		
Artocarpus heterophyllus		
Artocarpus altilis		
Artemisia vulgaris		
Artemisia scoparia		
Artemisia princeps		
Artemisia ludoviciana		
Artemisia iwayomogi		
Artemisia heptapotamica		
Artemisia gmelinii		
Artemisia frigida		
Artemisia dracunculus		
Artemisia cina		
Artemisia capillaris		
Artemisia argyi		
Artemisia arborescens		
Artemisia annua		
Artemisia absinthium		
Artabotrys hexapetalus		
Arrhenatherum elatius		
Aronia melanocarpa		
Arnoglossum plantagineum		
Arnica montana		
Armoracia rusticana		
Aristolochia tagala		
Aristolochia fimbriata		
Aristolochia debilis		
Aristolochia clematitis		
Aristolochia californica		
Aristolochia acuminata		
Arisaema triphyllum		
Arisaema heterophyllum		
Arisaema franchetianum		
Arisaema amurense		
Argentina anserina		
Argemone mexicana		
Arenga caudata		
Areca catechu		
Ardisia crenata		
Arctostaphylos uva-ursi		
Arctium lappa		
Arbutus unedo		
Aralia spinosa		
Aralia soratensis		
Aralia nudicaulis		
Aralia continentalis		
Arachis stenosperma		
Arachis ipaensis		
Arachis hypogaea		
Arabis hirsuta		
Arabis alpina		
Arabidopsis thaliana		
Arabidopsis lyrata		
Aquilegia vulgaris		
Aquilegia coerulea		
Aquilaria agallochum		
Aquarius macrophyllus		
Apuleia leiocarpa		
Aporosa villosa		
Aporosa planchoniana		
Apluda mutica		
Apium graveolens		
Apios americana		
Aphanamixis polystachya		
Apeiba membranacea		
Aparisthmium cordatum		
Antigonon leptopus		
Antidesma ghaesembilla		
Anthyllis vulneraria		
Anthurium andraeanum		
Anthriscus sylvestris		
Anthriscus cerefolium		
Anthoxanthum odoratum		
Anthoshorea roxburghii		
Anteremanthus hatschbachii		
Anonidium mannii		
Annona muricata		
Annona emarginata		
Annona coriacea		
Annona cherimola		
Annona bicolor		
Annona amazonica		
Anisoptera costata		
Anigozanthos viridis		
Aniba guianensis		
Aniba canelilla		
Angelica keiskei		
Angelica gigas		
Angelica dahurica		
Angelica archangelica		
Angelica anomala		
Anethum graveolens		
Anethum foeniculum		
Anemone tomentosa		
Anemone rivularis		
Anemone narcissiflora		
Anemarrhena asphodeloides		
Andrographis paniculata		
Anchusa officinalis		
Anchusa capensis		
Anaxagorea panamensis		
Ananas comosus		
Anagyris foetida		
Anadenanthera colubrina		
Anacardium occidentale		
Anacardium excelsum		
Amphipterygium adstringens		
Amphicarpaea bracteata		
Ampelozizyphus amazonicus		
Ampelopsis japonica		
Ampelocissus arachnoidea		
Ampelocera ruizii		
Amorphophallus paeoniifolius		
Amorphophallus konjac		
Amorphophallus bulbifer		
Amorpha fruticosa		
Amorimia septentrionalis		
Amorimia pubiflora		
Amorimia coriacea		
Amorimia concinna		
Amorimia andersonii		
Amomum krervanh		
Amelanchier canadensis		
Amelanchier arborea		
Amelanchier alnifolia		
Amburana cearensis		
Ambrosia artemisiifolia		
Amaranthus viridis		
Amaranthus tuberculatus		
Amaranthus tricolor		
Amaranthus retroflexus		
Amaranthus hypochondriacus		
Amaranthus hybridus		
Amaranthus cruentus		
Amaranthus blitum		
Amaranthus albus		
Amaranthus acanthochiton		
Amalocalyx yunnanensis		
Althaea officinalis		
Althaea armeniaca		
Alternanthera flavescens		
Alternanthera bettzickiana		
Alstroemeria angustifolia		
Alseis blackiana		
Alpinia purpurata		
Alpinia oxyphylla		
Alpinia officinarum		
Alpinia hainanensis		
Alpinia galanga		
Alpinia chinensis		
Alphitonia philippinensis		
Alopecurus pratensis		
Aloiampelos ciliaris		
Aloe vera		
Aloe ferox		
Aloe camperi		
Aloe arborescens		
Alocasia macrorrhizos		
Alnus japonica		
Alnus hirsuta		
Alnus glutinosa		
Alnus firma		
Alnus alnobetula		
Alluaudia procera		
Allospondias lakonensis		
Allophylus cobbe		
Allium ursinum		
Allium tuberosum		
Allium schoenoprasum		
Allium sativum		
Allium ledebourianum		
Allium cepa		
Allium ampeloprasum		
Allionia incarnata		
Alliaria petiolata		
Alisma plantago-aquatica		
Alchornea triplinervia		
Alchornea laxiflora		
Alchornea latifolia		
Alchornea grandiflora		
Alchornea glandulosa		
Alchemilla mollis		
Alchemilla conjuncta		
Alchemilla alpina		
Alcea rosea		
Albuca bracteata		
Albizia myriophylla		
Albizia julibrissin		
Albizia adianthifolia		
Akebia quinata		
Ajuga forrestii		
Aiouea montana		
Ainsliaea yunnanensis		
Ainsliaea pertyoides		
Ailanthus triphysus		
Ailanthus altissimus		
Agrostis gigantea		
Agrostemma githago		
Agrimonia pilosa		
Agrimonia eupatoria		
Agouticarpa curviflora		
Aglaonema commutatum		
Aglaomorpha fortunei		
Aglaomorpha bonii		
Aglaia simplicifolia		
Ageratum fastigiatum		
Ageratum conyzoides		
Agave tequilana		
Agave sisalana		
Agave bracteosa		
Agastache rugosa		
Agastache mexicana		
Agapanthus praecox		
Afzelia xylocarpa		
Afzelia bipindensis		
Afrostyrax lepidophyllus		
Aframomum melegueta		
Aesculus hippocastanum		
Aenigmatanthera lasiandra		
Aegopodium podagraria		
Aegle marmelos		
Aegilops speltoides		
Aechmea nudicaulis		
Adromischus cristatus		
Adonis vernalis		
Adenophora triphylla		
Adenophora stricta		
Adenophora remotiflora		
Adenium obesum		
Adenia olaboensis		
Adenia monadelpha		
Adenia lobata		
Adenanthera microsperma		
Adansonia za		
Adansonia rubrostipa		
Adansonia grandidieri		
Adansonia digitata		
Actinidia rubricaulis		
Actinidia deliciosa		
Actinidia chinensis		
Actaea spicata		
Actaea racemosa		
Actaea heracleifolia		
Acridocarpus smeathmannii		
Acorus gramineus		
Acorus calamus		
Aconitum napellus		
Aconitum kusnezoffii		
Aconitum ciliare		
Aconitum carmichaelii		
Aconitum barbatum		
Acmispon argophyllus		
Acmella oleracea		
Acmanthera latifolia		
Achyrocline saturejoides		
Achyranthes bidentata		
Achillea ptarmica		
Achillea millefolium		
Achillea fragrantissima		
Achillea biebersteinii		
Achillea asiatica		
Achillea ageratum		
Achatocarpus praecox		
Acer wilsonii		
Acer saccharum		
Acer rubrum		
Acer platanoides		
Acer pictum		
Acer negundo		
Acer monspessulanum		
Acer fabri		
Acer circinatum		
Acer campestre		
Acanthus spinosus		
Acanthus mollis		
Acanthus longifolius		
Acanthus ilicifolius		
Acanthospermum hispidum		
Acalypha siamensis		
Acalypha diversifolia		
Acalypha decaryana		
Acacia paradoxa		
Acacia megaladena		
Acacia crassicarpa		
Abutilon grandifolium		
Abuta grandifolia		
Abrus precatorius		
Abroma augustum		
Abies lasiocarpa		
Abies grandis		
Abies amabilis		
Abies alba		
Abelmoschus manihot		
Abelmoschus esculentus		
